n,kl_weight,prior_sigma,seed,l2,collapsed,minutes,experiment_name
9,0.001,0.3,0,0.00337,0,2.9,n9_kl0p00100
9,0.00224,0.3,0,0.00477,0,2.9,n9_kl0p00224
9,0.005,0.3,0,0.97993,1,2.8,n9_kl0p00500
9,0.01,0.3,0,0.97383,1,2.9,n9_kl0p01000
9,0.00335,0.3,0,0.00357,0,2.9,n9_kl0p00335
9,0.00335,0.3,1,0.00253,0,3.0,n9_kl0p00335
9,0.00335,0.3,2,0.00906,0,3.0,n9_kl0p00335
9,0.00409,0.3,0,0.98156,1,2.9,n9_kl0p00409
9,0.00409,0.3,1,0.98278,1,3.0,n9_kl0p00409
9,0.00409,0.3,2,0.00881,0,3.0,n9_kl0p00409
