n,kl_weight,prior_sigma,seed,l2,collapsed,minutes,experiment_name
9,0.001,0.3,0,0.00337,0,2.9,n9_kl0p00100
9,0.00224,0.3,0,0.00477,0,2.9,n9_kl0p00224
9,0.005,0.3,0,0.97993,1,2.8,n9_kl0p00500
9,0.01,0.3,0,0.97383,1,2.9,n9_kl0p01000
9,0.00335,0.3,0,0.00357,0,2.9,n9_kl0p00335
9,0.00335,0.3,1,0.00253,0,3.0,n9_kl0p00335
9,0.00335,0.3,2,0.00906,0,3.0,n9_kl0p00335
9,0.00409,0.3,0,0.98156,1,2.9,n9_kl0p00409
9,0.00409,0.3,1,0.98278,1,3.0,n9_kl0p00409
9,0.00409,0.3,2,0.00881,0,3.0,n9_kl0p00409
3,0.001,0.3,0,0.00239,0,11.9,n3_kl0p00100
3,0.002,0.3,0,0.00416,0,10.6,n3_kl0p00200
3,0.005,0.3,0,0.00880,0,13.5,n3_kl0p00500
3,0.01,0.3,0,0.00276,0,10.9,n3_kl0p01000
5,0.001,0.3,0,0.00239,0,11.3,n5_kl0p00100
5,0.002,0.3,0,0.00432,0,11.3,n5_kl0p00200
5,0.005,0.3,0,0.00531,0,11.2,n5_kl0p00500
5,0.01,0.3,0,0.00418,0,36.5,n5_kl0p01000
7,0.001,0.3,0,0.00232,0,37.2,n7_kl0p00100
7,0.002,0.3,0,0.00087,0,9.9,n7_kl0p00200
7,0.005,0.3,0,0.00798,0,10.4,n7_kl0p00500
